Unnamed: 0,RequestID,StartDate,EndDate,AgencyName,CategoryDescription,SelectionMethodDescription,ContractAmount
3663,20090702011,07/10/2009,07/10/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,279035.71
3664,20180516038,05/23/2018,05/23/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,34731.79
3666,20070220011,02/27/2007,02/27/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,297900.0
3667,20030626023,07/03/2003,07/03/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,77036.4
3668,20030718001,07/25/2003,07/25/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,241475.45
3669,20041203013,12/10/2004,12/10/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,838000.0
3670,20030930031,10/07/2003,10/07/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,45033.46
3672,20090910021,09/17/2009,09/17/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,286104.0
3673,20060526008,06/05/2006,06/05/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,235977.0
3676,20141120021,12/01/2014,12/01/2014,Citywide Administrative Services,Goods,Intergovernmental Purchase,192002.5
3677,20030904010,09/11/2003,09/11/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,99950.0
3678,20050707001,07/14/2005,07/14/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,258416.0
3679,20070402032,04/09/2007,04/09/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,185300.0
3681,20060608008,06/15/2006,06/15/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,1567960.0
3682,20051114025,11/21/2005,11/21/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,2059500.0
3684,20060814014,08/21/2006,08/21/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,74664.0
3685,20130215013,02/25/2013,02/25/2013,Citywide Administrative Services,Goods,Emergency Purchase,169825.0
3686,20061019004,10/25/2006,10/25/2006,Information Technology and Telecommunications,Goods,Competitive Sealed Bids,153089.0
3687,20031023011,10/30/2003,10/30/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,9106180.0
3689,20140924016,10/02/2014,10/02/2014,Citywide Administrative Services,Goods,Intergovernmental Purchase,675000.0
3690,20040618019,06/25/2004,06/25/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,296994.8
3691,20170630013,07/11/2017,07/11/2017,Citywide Administrative Services,Goods,Other,112719.0
3692,20081119015,11/26/2008,11/26/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,63208.0
3693,20040225024,03/03/2004,03/03/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,3276782.85
3695,20030207012,02/14/2003,02/14/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,143325.0
3696,20070810008,08/17/2007,08/17/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,120255.56
3698,20050929004,10/06/2005,10/06/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,103405.32
3699,20060223013,03/02/2006,03/02/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,403122.0
3700,20050722019,07/29/2005,07/29/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,1187447.04
3701,20041221008,12/29/2004,12/29/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,2470050.8
3702,20030626022,07/03/2003,07/03/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,67860.0
3703,20050519011,05/26/2005,05/26/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,983427.75
3705,20140314012,03/24/2014,03/24/2014,Citywide Administrative Services,Goods,Intergovernmental Purchase,499250.0
3706,20031231008,01/08/2004,01/08/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,44682.0
3707,20050812015,08/19/2005,08/19/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,440226.0
3708,20060411026,04/18/2006,04/18/2006,Citywide Administrative Services,Goods,Intergovernmental Purchase,396384.84
3712,20041202004,12/08/2004,12/08/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,44628.0
3713,20071204004,12/11/2007,12/11/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,23189.88
3714,20070918008,09/25/2007,09/25/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,256086.78
3715,20040305025,03/12/2004,03/12/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,131508.0
3717,20060914033,09/21/2006,09/21/2006,Citywide Administrative Services,Goods,Intergovernmental Purchase,209757.0
3719,20051019030,10/26/2005,10/26/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,47906.25
3720,20050214021,02/22/2005,02/22/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,102220.0
3721,20161007020,10/17/2016,10/17/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,6296069.0
3723,20060609026,06/16/2006,06/16/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,15693946.0
3724,20160902009,09/12/2016,09/12/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,938938.9
3725,20041207003,12/14/2004,12/14/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,87665.25
3726,20060814004,08/21/2006,08/21/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,235800.0
3728,20050218004,02/28/2005,02/28/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,546876.43
3729,20171213020,12/21/2017,12/21/2017,Citywide Administrative Services,Goods,Intergovernmental Purchase,169742.7
3730,20030306008,03/13/2003,03/13/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,826320.0
3731,20031211006,12/18/2003,12/18/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,42760.0
3732,20090302017,03/09/2009,03/09/2009,Citywide Administrative Services,Goods,Intergovernmental Purchase,514650.0
3733,20040505003,05/12/2004,05/12/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,1316905.05
3737,20170616024,06/23/2017,06/23/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,266944.0
3738,20030603008,06/10/2003,06/10/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,30380.7
3739,20040708022,07/15/2004,07/15/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,1212497.24
3741,20040102010,01/09/2004,01/09/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,264129.39
3742,20060207017,02/14/2006,02/14/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,115718.4
3743,20060510004,05/17/2006,05/17/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,295000.0
3744,20040421012,04/28/2004,04/28/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,109024.0
3745,20080618002,06/25/2008,06/25/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,69000.0
3746,20070628005,07/06/2007,07/06/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,412585.0
3748,20051122005,11/30/2005,11/30/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,101159.6
3749,20030624006,07/01/2003,07/01/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,444151.9
3751,20030806007,08/13/2003,08/13/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,1155000.0
3752,20041229019,01/06/2005,01/06/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,100000.0
3753,20070403013,04/10/2007,04/10/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,244138.0
3754,20080317005,03/24/2008,03/24/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,357500.0
3755,20070410017,04/17/2007,04/17/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,228250.0
3756,20041203002,12/10/2004,12/10/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,117000.0
3757,20030218009,02/25/2003,02/25/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,109778.03
3758,20040617007,06/24/2004,06/24/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,1449920.84
3759,20041112015,11/19/2004,11/19/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,41400.0
3760,20140416011,04/23/2014,04/23/2014,Citywide Administrative Services,Goods,Competitive Sealed Bids,2561400.0
3761,20050908013,09/15/2005,09/15/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,1475461.12
3762,20030312001,03/19/2003,03/19/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,87561.0
3763,20040402020,04/09/2004,04/09/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,304976.0
3764,20070706003,07/13/2007,07/13/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,248192.0
3765,20100831013,09/08/2010,09/08/2010,Citywide Administrative Services,Goods,Competitive Sealed Bids,94240.0
3767,20090617013,06/24/2009,06/24/2009,Citywide Administrative Services,Goods,Intergovernmental Purchase,245323.92
3768,20030114003,01/22/2003,01/22/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,144916.96
3770,20070319027,03/26/2007,03/26/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,455320.0
3771,20070626013,07/03/2007,07/03/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,123917.5
3773,20040412002,04/19/2004,04/19/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,27764.0
3774,20060616026,06/23/2006,06/23/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,764800.0
3775,20170605021,06/13/2017,06/13/2017,Citywide Administrative Services,Goods,Other,204500.0
3776,20061204017,12/11/2006,12/11/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,101451.0
3777,20040707026,07/14/2004,07/14/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,123000.0
3779,20030626042,07/03/2003,07/03/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,632951.42
3780,20050815023,08/22/2005,08/22/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,173125.4
3781,20080326007,04/02/2008,04/02/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,23038290.0
3782,20061201009,12/08/2006,12/08/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,264600.0
3783,20070803012,08/10/2007,08/10/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,200000.0
3784,20030324002,03/31/2003,03/31/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,27750.0
3785,20090901003,09/09/2009,09/09/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,293250.0
3787,20030122017,01/29/2003,01/29/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,625692.6
3788,20050421005,04/28/2005,04/28/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,152238.0
3789,20040616010,06/23/2004,06/23/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,1779446.54
3790,20030820001,08/27/2003,08/27/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,1000000.0
3791,20080103006,01/10/2008,01/10/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,614078.5
3792,20050113013,01/21/2005,01/21/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,229948.1
3793,20030624012,07/01/2003,07/01/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,216200.0
3794,20060522005,05/30/2006,05/30/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,173500.0
3796,20080324013,03/31/2008,03/31/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,174699.25
3797,20080401017,04/08/2008,04/08/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,383846.0
3798,20060727014,08/03/2006,08/03/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,408520.0
3799,20050216025,02/24/2005,02/24/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,167460.0
3800,20050311013,03/18/2005,03/18/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,1427232.0
3801,20060307003,03/14/2006,03/14/2006,Citywide Administrative Services,Goods,Sole Source,453565.0
3802,20040510015,05/17/2004,05/17/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,46000.0
3804,20161205031,12/12/2016,12/12/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,778888.32
3807,20060615026,06/22/2006,06/22/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,392382.37
3808,20140117010,01/28/2014,01/28/2014,Citywide Administrative Services,Goods,Intergovernmental Purchase,680638.87
3809,20030312007,03/19/2003,03/19/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,274356.4
3810,20030822001,08/29/2003,08/29/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,638740.0
3812,20050613024,06/20/2005,06/20/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,5018160.0
3813,20040818026,08/25/2004,08/25/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,5278628.0
3814,20040618016,06/25/2004,06/25/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,58500.0
3815,20040322003,03/29/2004,03/29/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,124676.57
3816,20040421007,04/28/2004,04/28/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,380000.0
3818,20050804002,08/11/2005,08/11/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,1645759.57
3819,20040707035,07/14/2004,07/14/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,331801.7
3822,20070430004,05/07/2007,05/07/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,925950.0
3823,20031204013,12/11/2003,12/11/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,88509.84
3824,20040608019,06/15/2004,06/15/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,391499.0
3825,20030430032,05/07/2003,05/07/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,79464.85
3826,20030812014,08/19/2003,08/19/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,136500.0
3827,20061228005,01/04/2007,01/04/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,672.0
3829,20050623011,06/30/2005,06/30/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,617337.97
3830,20051019009,10/26/2005,10/26/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,136384.25
3831,20110817017,08/24/2011,08/24/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,30137848.88
3832,20040513002,05/20/2004,05/20/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,650000.0
3833,20031211003,12/18/2003,12/18/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,36720.0
3834,20061201016,12/08/2006,12/08/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,33232.0
3835,20070109014,01/17/2007,01/17/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,675450.0
3837,20040917005,09/24/2004,09/24/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,5709000.0
3842,20040317013,03/24/2004,03/24/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,71299.8
3844,20060808020,08/15/2006,08/15/2006,Citywide Administrative Services,Goods,Intergovernmental Purchase,179000.0
3846,20120601020,06/08/2012,06/08/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,70536.0
3848,20050601019,06/08/2005,06/08/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,213410.5
3849,20050314047,03/21/2005,03/21/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,113375.24
3850,20060426003,05/03/2006,05/03/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,99900.0
3852,20070917008,09/24/2007,09/24/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,210317.78
3855,20040319006,03/26/2004,03/26/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,52056.0
3856,20060329011,04/05/2006,04/05/2006,Citywide Administrative Services,Goods,Intergovernmental Purchase,138609.0
3857,20040213006,02/23/2004,02/23/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,273580.41
3858,20071101011,11/09/2007,11/09/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,135878.35
3859,20050728006,08/04/2005,08/04/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,299249.34
3860,20050826002,09/02/2005,09/02/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,178738.73
3861,20070103012,01/10/2007,01/10/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,339719.0
3862,20170421027,05/01/2017,05/01/2017,Citywide Administrative Services,Goods,Other,120658.0
3863,20070503004,05/10/2007,05/10/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,686453.36
3864,20160222021,02/29/2016,02/29/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,188991.5
3865,20060411005,04/18/2006,04/18/2006,Citywide Administrative Services,Goods,Intergovernmental Purchase,134527.8
3866,20031219012,12/29/2003,12/29/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,309989.13
3867,20050406019,04/13/2005,04/13/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,298260.25
3869,20040722004,07/29/2004,07/29/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,5198963.75
3871,20050414032,04/21/2005,04/21/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,189356.0
3873,20120626007,07/05/2012,07/05/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,7539.84
3874,20060612003,06/19/2006,06/19/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,1033200.0
3875,20050314045,03/21/2005,03/21/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,141182.5
3876,20030718006,07/25/2003,07/25/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,153000.0
3878,20060619011,06/26/2006,06/26/2006,Citywide Administrative Services,Goods,Intergovernmental Purchase,125288.62
3880,20050607005,06/14/2005,06/14/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,57500.0
3881,20070815015,08/22/2007,08/22/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,64875.0
3884,20080703018,07/11/2008,07/11/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,257188.0
3885,20070516021,05/23/2007,05/23/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,46460.0
3886,20040219005,02/26/2004,02/26/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,51996.0
3889,20070117030,01/24/2007,01/24/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,399682.12
3890,20030611002,06/18/2003,06/18/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,61425.0
3891,20070124006,01/31/2007,01/31/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,160000.0
3893,20030725022,08/01/2003,08/01/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,1188167.0
3894,20060619006,06/26/2006,06/26/2006,Citywide Administrative Services,Goods,Intergovernmental Purchase,496398.0
3896,20051006001,10/14/2005,10/14/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,309710.0
3897,20180601024,06/08/2018,06/08/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,8606620.49
3899,20071126018,12/03/2007,12/03/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,102360.0
3902,20030131005,02/07/2003,02/07/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,142710.0
3905,20030312002,03/19/2003,03/19/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,284400.0
3906,20061027015,11/06/2006,11/06/2006,Citywide Administrative Services,Goods,Intergovernmental Purchase,1444800.0
3907,20080118011,01/28/2008,01/28/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,1237246.5
3908,20050722013,07/29/2005,07/29/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,484096.32
3910,20120217027,02/27/2012,02/27/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,49475.0
3911,20060925017,10/02/2006,10/02/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,2415300.0
3914,20030418032,04/25/2003,04/25/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,199999.0
3915,20050214016,02/22/2005,02/22/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,273369.0
3916,20041029027,11/08/2004,11/08/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,33330.0
3917,20150309012,03/16/2015,03/16/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,632331.0
3918,20040524021,06/01/2004,06/01/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,112228.64
3919,20050805007,08/12/2005,08/12/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,36625.0
3920,20031029012,11/06/2003,11/06/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,432000.0
3921,20040213011,02/23/2004,02/23/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,195766.0
3922,20100202014,02/09/2010,02/09/2010,Citywide Administrative Services,Goods,Sole Source,1011000.0
3924,20070618010,06/25/2007,06/25/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,3053712.0
3925,20051128008,12/05/2005,12/05/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,149925.9
3930,20060117001,01/24/2006,01/24/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,71064.0
3931,20050420002,04/27/2005,04/27/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,302600.0
3932,20081112013,11/19/2008,11/19/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,1525410.0
3933,20050913009,09/20/2005,09/20/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,104706.24
3935,20031209004,12/16/2003,12/16/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,401565.5
3936,20040106031,01/13/2004,01/13/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,126600.0
3938,20061120002,11/28/2006,11/28/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,7201926.0
3939,20061027016,11/06/2006,11/06/2006,Citywide Administrative Services,Goods,Intergovernmental Purchase,104779.52
3940,20070803015,08/10/2007,08/10/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,100000.0
3942,20050311028,03/18/2005,03/18/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,251605.16
3943,20070119005,01/26/2007,01/26/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,902225.0
3946,20171026007,11/03/2017,11/03/2017,Citywide Administrative Services,Goods,Intergovernmental Purchase,287571.04
3947,20030725023,08/01/2003,08/01/2003,Citywide Administrative Services,Goods,Intergovernmental Purchase,100000.0
3948,20050615007,06/22/2005,06/22/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,329628.83
3949,20051219014,12/27/2005,12/27/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,42243.75
3950,20050613017,06/20/2005,06/20/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,901740.0
3951,20040628011,07/06/2004,07/06/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,146890.9
3952,20070926002,10/03/2007,10/03/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,1629141.33
3953,20060224002,03/03/2006,03/03/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,2624236.0
3955,20060214032,02/22/2006,02/22/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,338219.0
3956,20070424018,05/01/2007,05/01/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,201600.0
3957,20040818037,08/25/2004,08/25/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,662750.97
3958,20051006007,10/14/2005,10/14/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,93600.0
3959,20090717038,07/24/2009,07/24/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,17849.76
3960,20060706018,07/13/2006,07/13/2006,Citywide Administrative Services,Goods,Intergovernmental Purchase,128696.0
3961,20040331022,04/07/2004,04/07/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,353094.0
3962,20060301007,03/08/2006,03/08/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,1039959.0
3965,20090616007,06/23/2009,06/23/2009,Citywide Administrative Services,Goods,Intergovernmental Purchase,226074.5
3966,20040609015,06/16/2004,06/16/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,83020.45
3971,20131107003,11/15/2013,11/15/2013,Citywide Administrative Services,Goods,Emergency Purchase,205253.0
3973,20100330005,04/07/2010,04/07/2010,Citywide Administrative Services,Goods,Competitive Sealed Bids,139247.32
3977,20040820011,08/27/2004,08/27/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,63210.0
3979,20081121003,11/28/2008,11/28/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,129990.78
3981,20060727012,08/03/2006,08/03/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,183217.5
3982,20040818033,08/25/2004,08/25/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,91600.0
3983,20060918002,09/25/2006,09/25/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,223500.0
3984,20070427004,05/04/2007,05/04/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,598011.8
3985,20060309007,03/16/2006,03/16/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,573870.0
3987,20030103008,01/10/2003,01/10/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,63493.26
3989,20030729004,08/05/2003,08/05/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,49876.0
3992,20060612009,06/19/2006,06/19/2006,Citywide Administrative Services,Goods,Intergovernmental Purchase,421119.9
3995,20051025003,11/01/2005,11/01/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,106030.0
3996,20060914027,09/21/2006,09/21/2006,Citywide Administrative Services,Goods,Intergovernmental Purchase,2948506.18
3998,20060307023,03/14/2006,03/14/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,279797.3
3999,20030805008,08/12/2003,08/12/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,890736.6
4000,20040827010,09/03/2004,09/03/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,100000.0
4002,20050513001,05/20/2005,05/20/2005,Citywide Administrative Services,Goods,Intergovernmental Purchase,237556.0
4003,20031204016,12/11/2003,12/11/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,625114.25
4005,20030722003,07/29/2003,07/29/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,2270199.09
4007,20170830023,09/07/2017,09/07/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,334175.0
4008,20030212001,02/20/2003,02/20/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,565320.0
4010,20040806006,08/13/2004,08/13/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,116015.0
4012,20040519004,05/26/2004,05/26/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,172806.5
4013,20030418023,04/25/2003,04/25/2003,Citywide Administrative Services,Goods,Sole Source,124697.0
4014,20171002009,10/10/2017,10/10/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,5000000.0
4016,20070625008,07/02/2007,07/02/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,418385.0
4017,20030618003,06/25/2003,06/25/2003,Citywide Administrative Services,Goods,Competitive Sealed Bids,62240.0
4019,20040510018,05/17/2004,05/17/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,25853.76
4020,20041203006,12/10/2004,12/10/2004,Citywide Administrative Services,Goods,Intergovernmental Purchase,84300.0
4021,20050225002,03/04/2005,03/04/2005,Citywide Administrative Services,Goods,Competitive Sealed Bids,344900.0
4022,20060929015,10/10/2006,10/10/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,628840.0
4023,20040608003,06/15/2004,06/15/2004,Citywide Administrative Services,Goods,Competitive Sealed Bids,55231.72
4025,20060515022,05/22/2006,05/22/2006,Citywide Administrative Services,Goods,Competitive Sealed Bids,499706.16
